age,gender,education_level,employment_status,monthly_income_usd,monthly_expenses_usd,savings_usd,has_loan,loan_amount_usd,monthly_emi_usd,debt_to_income_ratio,credit_score,savings_to_income_ratio,expense_ratio,financial_health_status
39,Female,High School,Employed,3525.22,1264.5,210117.09,No,0.0,0.0,0.0,588,4.97,0.3587010172414771,Poor
40,Male,PhD,Unemployed,7744.01,4063.81,585076.67,No,0.0,0.0,0.0,624,6.3,0.5247681756609301,Average
21,Female,PhD,Student,500.0,342.99,27820.22,No,0.0,0.0,0.0,567,4.64,0.68598,Poor
18,Other,PhD,Employed,6561.08,2121.71,489775.18,Yes,160168.84,7393.94,1.13,495,6.22,0.3233781633511556,Poor
67,Female,Master,Self-employed,4101.49,2272.56,281937.28,No,0.0,0.0,0.0,398,5.73,0.5540815654798622,Poor
35,Male,Bachelor,Unemployed,4989.2,2211.0,408942.57,No,0.0,0.0,0.0,572,6.83,0.4431572195943237,Poor
37,Female,Bachelor,Unemployed,3177.42,2777.32,259278.31,No,0.0,0.0,0.0,805,6.8,0.8740802286131516,Poor
22,Male,Bachelor,Self-employed,5968.05,5178.58,561103.95,Yes,247715.73,6187.05,1.04,432,7.83,0.8677172610819279,Poor
40,Female,Master,Student,5227.68,1885.49,58507.61,No,0.0,0.0,0.0,469,0.93,0.3606743335475775,Poor
67,Female,High School,Employed,6715.76,5990.35,306664.24,Yes,119105.91,2948.4,0.44,431,3.81,0.8919839303369984,Poor
23,Female,Bachelor,Employed,5715.32,2095.91,341340.99,Yes,286165.04,5560.36,0.97,660,4.98,0.3667178740647943,Average
20,Female,Other,Employed,3680.12,1287.07,235418.64,No,0.0,0.0,0.0,357,5.33,0.3497358781778855,Poor
62,Other,High School,Unemployed,5687.15,1963.55,119125.28,Yes,227815.99,4681.0,0.82,558,1.75,0.3452608072584687,Poor
28,Male,Other,Unemployed,1867.36,1255.01,63775.73,Yes,194745.92,9002.72,4.82,340,2.85,0.6720771570559507,Poor
44,Female,Bachelor,Employed,970.85,368.84,9953.74,No,0.0,0.0,0.0,555,0.85,0.3799145079054436,Poor
64,Female,High School,Unemployed,5359.32,1692.58,246120.6,No,0.0,0.0,0.0,523,3.83,0.3158199174522141,Poor
28,Female,Bachelor,Student,3770.92,2069.83,127007.45,Yes,346165.48,9122.99,2.42,736,2.81,0.5488925779385402,Average
54,Female,Bachelor,Employed,6475.63,2444.52,741726.83,No,0.0,0.0,0.0,745,9.55,0.3774953170579542,Average
66,Female,High School,Employed,4484.67,3423.56,282513.69,No,0.0,0.0,0.0,353,5.25,0.7633917322790751,Poor
22,Male,Master,Employed,8094.8,6096.05,606242.03,No,0.0,0.0,0.0,734,6.24,0.753082225626328,Average
51,Male,Bachelor,Employed,3461.19,2105.77,326383.22,Yes,262277.54,25393.55,7.34,437,7.86,0.6083948006321526,Poor
27,Female,High School,Employed,5435.08,3236.98,218792.9,No,0.0,0.0,0.0,410,3.35,0.5955717303149172,Poor
40,Male,High School,Employed,5120.45,2800.87,538000.21,No,0.0,0.0,0.0,360,8.76,0.5469968459803337,Poor
68,Male,High School,Employed,2175.74,768.52,33792.6,No,0.0,0.0,0.0,645,1.29,0.3532223519354335,Average
66,Female,Master,Employed,7928.51,4812.56,157372.59,Yes,139161.95,11931.17,1.5,552,1.65,0.6069942523879014,Poor
32,Female,PhD,Employed,3605.56,2230.97,312952.9,Yes,126966.04,2312.37,0.64,662,7.23,0.6187582511454531,Average
62,Female,Bachelor,Employed,2457.83,1569.03,248428.48,Yes,60761.3,5405.96,2.2,324,8.42,0.6383801971657926,Poor
27,Female,Bachelor,Employed,5152.35,3359.87,462465.71,No,0.0,0.0,0.0,724,7.48,0.6521043795549603,Average
23,Female,Master,Employed,1202.86,434.32,23286.97,Yes,425557.94,9661.11,8.03,542,1.61,0.3610727765492244,Poor
53,Other,Master,Employed,5125.94,1554.08,599929.66,No,0.0,0.0,0.0,740,9.75,0.3031795143915067,Average
32,Female,Bachelor,Unemployed,2870.89,1594.1,176571.54,Yes,353907.82,5875.96,2.05,438,5.13,0.5552633503896004,Poor
30,Female,High School,Employed,1995.91,674.67,237128.63,Yes,44846.19,434.49,0.22,849,9.9,0.3380262637092854,Good
47,Male,Master,Self-employed,4742.29,4092.62,107794.57,Yes,361076.68,7642.18,1.61,528,1.89,0.8630050039116123,Poor
47,Female,High School,Employed,2792.03,1367.31,198487.74,No,0.0,0.0,0.0,594,5.92,0.4897189500112821,Poor
55,Female,Bachelor,Employed,3521.64,2205.01,383467.46,No,0.0,0.0,0.0,497,9.07,0.6261315750616191,Poor
24,Female,Master,Employed,5646.21,3501.08,606371.55,No,0.0,0.0,0.0,849,8.95,0.6200761218587335,Average
50,Female,Master,Employed,7019.54,5798.56,293692.72,No,0.0,0.0,0.0,458,3.49,0.8260598272821297,Poor
62,Male,Bachelor,Self-employed,4804.07,2843.12,239165.22,No,0.0,0.0,0.0,710,4.15,0.5918148569858475,Average
68,Female,Master,Employed,500.0,288.6,56868.63,Yes,70418.98,3567.2,7.13,759,9.48,0.5772,Average
53,Female,Master,Employed,6992.09,4515.3,512364.61,No,0.0,0.0,0.0,328,6.11,0.6457725801584362,Poor
39,Female,High School,Employed,4111.45,2692.03,199822.72,Yes,103584.32,444.01,0.11,543,4.05,0.6547641343078476,Poor
43,Female,Bachelor,Employed,6188.38,5266.76,439026.61,Yes,71287.65,1116.02,0.18,479,5.91,0.8510724939321761,Poor
41,Male,Master,Employed,1965.62,1723.15,37073.82,No,0.0,0.0,0.0,775,1.57,0.8766445192865356,Poor
57,Female,Bachelor,Employed,5033.34,2798.91,484278.3,Yes,96153.17,1525.39,0.3,670,8.02,0.5560740979151021,Average
19,Female,Bachelor,Employed,3314.62,2708.28,376535.92,Yes,448817.77,21557.52,6.5,386,9.47,0.8170710368005987,Poor
49,Female,Master,Employed,3257.12,1473.3,79793.7,No,0.0,0.0,0.0,627,2.04,0.4523321216289237,Average
64,Female,Master,Employed,3519.35,2580.95,361988.87,No,0.0,0.0,0.0,751,8.57,0.7333598533820165,Average
54,Male,Bachelor,Employed,3250.36,1000.46,36918.93,Yes,62265.67,2274.23,0.7,381,0.95,0.3077997514121512,Poor
18,Female,Bachelor,Employed,3341.34,2667.7,141034.04,No,0.0,0.0,0.0,525,3.52,0.7983922617871871,Poor
61,Male,Other,Self-employed,3806.35,3125.32,224981.27,No,0.0,0.0,0.0,427,4.93,0.821080562743836,Poor
67,Male,Bachelor,Employed,2754.29,2206.07,325411.04,No,0.0,0.0,0.0,408,9.85,0.8009577785926683,Poor
40,Female,Master,Employed,3163.71,1894.6,29044.24,No,0.0,0.0,0.0,677,0.77,0.5988538772517076,Average
40,Male,High School,Employed,2186.84,1486.74,131034.87,No,0.0,0.0,0.0,700,4.99,0.6798576942071665,Average
38,Male,Bachelor,Employed,5688.88,4225.81,62785.22,No,0.0,0.0,0.0,328,0.92,0.742819324717695,Poor
28,Male,Bachelor,Self-employed,5082.0,2734.06,582120.37,Yes,108255.25,2724.3,0.54,766,9.55,0.5379889807162535,Average
69,Male,Bachelor,Employed,4265.87,2875.19,245455.57,Yes,364366.19,6698.74,1.57,341,4.79,0.673998504408245,Poor
56,Male,High School,Employed,5243.62,2708.77,63342.67,No,0.0,0.0,0.0,316,1.01,0.5165839629874018,Poor
66,Male,Bachelor,Unemployed,859.55,587.39,78540.06,No,0.0,0.0,0.0,499,7.61,0.6833692048164738,Poor
35,Female,Bachelor,Student,500.0,186.16,44022.81,Yes,485558.06,9979.87,19.96,522,7.34,0.37232,Poor
56,Male,Bachelor,Self-employed,3441.0,1507.18,53415.83,Yes,265602.3,3287.4,0.96,338,1.29,0.4380063934902645,Poor
21,Female,Bachelor,Self-employed,5426.8,4228.94,649884.11,Yes,45183.16,755.47,0.14,571,9.98,0.7792695511166801,Poor
64,Male,High School,Employed,4094.03,3040.02,121047.06,Yes,149204.44,6954.1,1.7,592,2.46,0.7425495172238601,Poor
65,Male,Other,Employed,2093.08,1829.04,200938.05,Yes,209372.81,4694.32,2.24,643,8.0,0.8738509755957727,Poor
30,Other,Master,Employed,3449.75,2986.24,270384.58,No,0.0,0.0,0.0,792,6.53,0.865639539097036,Poor
60,Male,Bachelor,Employed,4937.13,3346.72,132805.31,No,0.0,0.0,0.0,319,2.24,0.6778675060207043,Poor
66,Male,Bachelor,Self-employed,5016.38,1968.11,492212.1,Yes,374187.93,5948.51,1.19,656,8.18,0.3923367049545688,Average
28,Female,Bachelor,Employed,3861.95,3317.24,341949.66,Yes,186971.57,3408.99,0.88,475,7.38,0.8589546731573428,Poor
35,Male,Bachelor,Self-employed,3624.84,3243.82,30840.95,No,0.0,0.0,0.0,617,0.71,0.8948863949857098,Poor
68,Female,Bachelor,Self-employed,4480.05,3113.95,458081.12,No,0.0,0.0,0.0,662,8.52,0.6950703675182196,Average
42,Female,High School,Self-employed,4611.11,3822.53,532141.72,No,0.0,0.0,0.0,330,9.62,0.8289826093934,Poor
27,Female,Bachelor,Student,4836.51,2923.58,9472.99,Yes,163890.35,2746.73,0.57,522,0.16,0.6044813305461996,Poor
41,Female,High School,Employed,4800.82,2999.36,554991.36,Yes,90569.16,995.07,0.21,495,9.63,0.6247599368441226,Poor
49,Female,PhD,Employed,3532.02,1182.35,35580.5,No,0.0,0.0,0.0,569,0.84,0.3347517850974796,Poor
29,Female,High School,Self-employed,7693.61,2611.02,760095.88,Yes,385433.3,5086.74,0.66,729,8.23,0.3393751437881567,Average
46,Female,High School,Unemployed,2914.79,2343.4,271108.54,Yes,137356.5,13323.69,4.57,739,7.75,0.8039687250196412,Poor
46,Female,Bachelor,Self-employed,5754.2,4350.5,309260.01,Yes,447155.5,20376.93,3.54,823,4.48,0.7560564457265997,Average
32,Male,Bachelor,Employed,4685.45,3572.9,475855.46,No,0.0,0.0,0.0,686,8.46,0.7625521561429532,Average
61,Male,PhD,Self-employed,4913.51,1477.68,355154.79,No,0.0,0.0,0.0,820,6.02,0.3007381688446752,Good
39,Female,Bachelor,Self-employed,3095.39,2043.0,110968.23,No,0.0,0.0,0.0,401,2.99,0.6600137624015068,Poor
25,Female,Master,Employed,500.0,321.27,1691.04,No,0.0,0.0,0.0,391,0.28,0.64254,Poor
50,Female,High School,Employed,6046.28,2113.21,599502.38,Yes,67225.16,580.0,0.1,421,8.26,0.3495058118380227,Poor
32,Male,High School,Employed,4183.17,3504.38,300600.36,No,0.0,0.0,0.0,522,5.99,0.8377331067109394,Poor
67,Female,PhD,Self-employed,6099.11,2122.91,655680.06,No,0.0,0.0,0.0,613,8.96,0.3480688165978314,Average
20,Male,High School,Employed,2929.53,984.94,89514.32,Yes,308255.27,12976.42,4.43,655,2.55,0.3362109280328244,Average
25,Female,Bachelor,Employed,5011.98,2986.97,54557.14,No,0.0,0.0,0.0,744,0.91,0.5959660653075232,Average
32,Male,Bachelor,Unemployed,500.0,277.65,21148.54,Yes,252917.6,13678.18,27.36,719,3.52,0.5552999999999999,Average
51,Female,Master,Student,2223.58,1179.18,125718.01,No,0.0,0.0,0.0,819,4.71,0.5303069824337331,Good
65,Female,Master,Employed,1273.92,520.51,130832.79,No,0.0,0.0,0.0,617,8.56,0.4085892363727706,Average
64,Female,Bachelor,Self-employed,3275.12,2887.5,104365.8,No,0.0,0.0,0.0,748,2.66,0.8816470846869733,Poor
53,Other,Bachelor,Employed,1760.66,995.15,71323.73,No,0.0,0.0,0.0,660,3.38,0.5652141810457442,Average
22,Male,Master,Self-employed,5694.16,3329.82,577885.77,No,0.0,0.0,0.0,455,8.46,0.5847780884274415,Poor
37,Male,High School,Employed,6445.0,2133.41,497762.51,Yes,467003.63,5135.59,0.8,505,6.44,0.3310178432893715,Poor
59,Male,Bachelor,Self-employed,911.07,558.52,38180.42,No,0.0,0.0,0.0,450,3.49,0.613037417542011,Poor
69,Female,Bachelor,Self-employed,5006.86,2067.88,440716.54,Yes,434202.98,4636.79,0.93,492,7.34,0.4130093511701945,Poor
60,Female,Bachelor,Self-employed,4746.79,1746.18,454299.28,No,0.0,0.0,0.0,300,7.98,0.3678654416984952,Poor
48,Female,Bachelor,Self-employed,5014.03,4510.86,34735.15,No,0.0,0.0,0.0,388,0.58,0.899647588865643,Poor
26,Male,Bachelor,Employed,630.43,441.65,61260.21,No,0.0,0.0,0.0,578,8.1,0.700553590406548,Poor
62,Female,High School,Employed,2132.56,1059.94,162221.28,No,0.0,0.0,0.0,442,6.34,0.497027047304648,Poor
36,Male,Bachelor,Employed,3393.94,2213.65,71989.52,No,0.0,0.0,0.0,302,1.77,0.6522360442435635,Poor
43,Female,Master,Student,3930.59,2075.81,190948.64,No,0.0,0.0,0.0,599,4.05,0.528116644066158,Poor
32,Male,Bachelor,Self-employed,5517.86,2461.46,614312.76,Yes,240112.43,7276.43,1.32,672,9.28,0.4460896072027924,Average
63,Male,Master,Employed,4562.38,3333.19,222227.77,No,0.0,0.0,0.0,389,4.06,0.7305814070726244,Poor
47,Male,Master,Employed,5897.88,2424.84,650117.39,No,0.0,0.0,0.0,684,9.19,0.4111375612932104,Average
62,Female,Other,Self-employed,2675.77,1629.83,191885.84,No,0.0,0.0,0.0,309,5.98,0.6091069112816123,Poor
59,Female,Bachelor,Employed,6139.7,4977.48,497102.35,No,0.0,0.0,0.0,738,6.75,0.8107041060638142,Poor
22,Male,Master,Unemployed,2174.1,1350.58,48698.49,Yes,303939.92,3493.33,1.61,808,1.87,0.6212133756496941,Average
42,Other,High School,Self-employed,500.0,367.36,1539.77,Yes,52950.72,876.45,1.75,466,0.26,0.73472,Poor
63,Male,Master,Employed,500.0,247.01,14063.39,Yes,221762.56,11404.13,22.81,727,2.34,0.4940199999999999,Average
49,Female,Master,Self-employed,3506.98,1452.57,26014.28,Yes,279333.93,13550.6,3.86,415,0.62,0.4141939788650063,Poor
53,Other,Master,Self-employed,923.93,574.22,11720.2,No,0.0,0.0,0.0,311,1.06,0.6214972995789725,Poor
33,Female,Master,Student,1815.37,1625.65,202100.99,No,0.0,0.0,0.0,585,9.28,0.8954923789640681,Poor
37,Female,High School,Self-employed,3367.18,2239.48,206786.62,Yes,19044.03,1666.67,0.49,660,5.12,0.6650906693434863,Average
19,Female,Bachelor,Employed,4386.66,3614.62,89565.02,No,0.0,0.0,0.0,442,1.7,0.824002772040687,Poor
54,Male,Bachelor,Employed,3807.45,3009.67,176734.39,No,0.0,0.0,0.0,761,3.87,0.7904686863911542,Average
33,Male,Master,Employed,5073.02,2575.37,594063.28,No,0.0,0.0,0.0,836,9.76,0.5076601314404436,Good
42,Male,Bachelor,Self-employed,2203.06,1462.28,202812.39,Yes,476445.97,4269.12,1.94,416,7.67,0.6637495120423411,Poor
25,Male,Bachelor,Employed,2121.33,1452.04,56990.24,No,0.0,0.0,0.0,359,2.24,0.6844951044863364,Poor
48,Male,Master,Employed,3711.82,2192.8,337053.01,No,0.0,0.0,0.0,762,7.57,0.5907614054560836,Good
40,Male,High School,Employed,5097.06,3419.27,389532.25,Yes,307994.5,6199.42,1.22,719,6.37,0.6708318128489756,Average
55,Male,High School,Unemployed,2155.13,1122.08,108615.57,No,0.0,0.0,0.0,809,4.2,0.5206553664976126,Good
44,Male,Master,Employed,4217.69,1809.9,11134.48,Yes,100229.28,2561.89,0.61,463,0.22,0.429121153996619,Poor
52,Male,Master,Employed,1762.74,686.66,28752.64,No,0.0,0.0,0.0,526,1.36,0.3895412823218398,Poor
46,Male,Bachelor,Self-employed,6284.65,3535.5,197682.85,No,0.0,0.0,0.0,531,2.62,0.5625611609238382,Poor
45,Female,Master,Unemployed,1758.36,766.96,187897.72,No,0.0,0.0,0.0,472,8.9,0.4361791669510226,Poor
22,Female,Bachelor,Self-employed,4473.92,1535.68,43241.78,Yes,254781.07,2785.62,0.62,665,0.81,0.3432515556827122,Average
28,Other,PhD,Self-employed,3090.36,1249.94,39832.9,No,0.0,0.0,0.0,651,1.07,0.4044642048175617,Average
55,Male,Bachelor,Unemployed,5214.26,2759.2,133670.93,Yes,131095.94,2232.72,0.43,677,2.14,0.5291642534127565,Average
27,Female,Bachelor,Student,6622.32,3917.83,731973.67,No,0.0,0.0,0.0,587,9.21,0.591609888981505,Poor
51,Male,Bachelor,Student,3522.93,2219.64,166888.07,Yes,121105.66,2441.67,0.69,734,3.95,0.6300550961841421,Average
38,Male,Master,Unemployed,2441.97,1111.24,160752.86,No,0.0,0.0,0.0,601,5.49,0.4550588254564962,Average
49,Male,Bachelor,Student,7459.78,2721.08,616277.82,Yes,107542.17,3324.03,0.45,343,6.88,0.3647667893691235,Poor
39,Female,Bachelor,Employed,4600.38,2939.7,382013.59,No,0.0,0.0,0.0,666,6.92,0.6390124294080054,Average
54,Male,Bachelor,Employed,5078.26,2370.23,123105.75,No,0.0,0.0,0.0,790,2.02,0.466740576496674,Good
27,Female,Master,Self-employed,4683.26,2403.59,441699.16,No,0.0,0.0,0.0,533,7.86,0.5132301004001486,Poor
29,Female,Bachelor,Student,6252.73,5034.59,356867.71,No,0.0,0.0,0.0,431,4.76,0.8051826961983006,Poor
21,Female,Master,Employed,5568.07,3885.54,7925.2,Yes,310175.08,6274.4,1.13,319,0.12,0.6978252787770269,Poor
24,Female,Master,Employed,3511.6,2078.72,254257.51,No,0.0,0.0,0.0,487,6.03,0.5919580817860803,Poor
36,Female,High School,Employed,4221.64,1798.02,418894.44,No,0.0,0.0,0.0,649,8.27,0.425905572242067,Average
50,Male,Bachelor,Employed,4379.7,2420.87,336264.04,No,0.0,0.0,0.0,698,6.4,0.5527479051076558,Average
28,Female,Other,Employed,5153.52,2666.13,210984.81,Yes,293319.26,3218.75,0.62,725,3.41,0.517341545196293,Average
63,Male,Bachelor,Employed,3615.78,2132.52,61675.88,Yes,452052.75,15624.11,4.32,612,1.42,0.5897814579426846,Average
23,Male,Bachelor,Employed,6781.0,5091.34,537368.97,No,0.0,0.0,0.0,707,6.6,0.7508243621884678,Average
59,Male,Bachelor,Employed,3866.94,2155.17,392730.24,Yes,244298.03,1324.82,0.34,549,8.46,0.5573321541063476,Poor
38,Female,Bachelor,Employed,4490.56,3320.63,297905.93,Yes,468474.41,4263.64,0.95,612,5.53,0.7394690194541438,Average
38,Male,Master,Employed,1460.62,1268.14,169609.99,Yes,76472.17,1790.89,1.23,626,9.68,0.8682203447850914,Poor
34,Other,Bachelor,Employed,1853.06,1436.16,123046.95,No,0.0,0.0,0.0,793,5.53,0.7750207764454471,Average
18,Male,High School,Self-employed,3103.24,1697.66,243714.96,No,0.0,0.0,0.0,643,6.54,0.5470604916152151,Average
27,Other,Master,Employed,8020.02,6602.73,528743.19,No,0.0,0.0,0.0,513,5.49,0.823280989324216,Poor
32,Female,Master,Employed,7165.19,4548.38,478911.39,Yes,454700.88,40730.07,5.68,526,5.57,0.6347884703685458,Poor
40,Female,Bachelor,Self-employed,4759.74,1986.55,111295.7,Yes,396634.36,8517.36,1.79,371,1.95,0.4173652342354834,Poor
64,Male,Master,Employed,1542.4,1030.45,68384.41,No,0.0,0.0,0.0,339,3.69,0.6680822095435685,Poor
45,Male,High School,Unemployed,4425.49,2496.84,328802.42,Yes,59704.35,1452.94,0.33,408,6.19,0.5641951512713846,Poor
38,Female,Bachelor,Student,4779.77,1700.73,22409.77,No,0.0,0.0,0.0,681,0.39,0.3558183761980178,Average
52,Male,Master,Unemployed,2455.26,899.73,224505.02,No,0.0,0.0,0.0,749,7.62,0.3664499890032012,Average
61,Male,Bachelor,Unemployed,2803.26,2363.75,249694.64,Yes,325922.64,6441.3,2.3,588,7.42,0.8432146857587237,Poor
33,Male,Bachelor,Employed,7282.09,2914.87,575631.38,No,0.0,0.0,0.0,490,6.59,0.4002793154163159,Poor
21,Female,Bachelor,Employed,5027.82,4136.5,463607.72,No,0.0,0.0,0.0,506,7.68,0.822722372718196,Poor
68,Female,Master,Employed,4359.16,2477.02,243635.9,No,0.0,0.0,0.0,846,4.66,0.5682333293570321,Good
47,Female,Bachelor,Employed,4663.96,2182.84,481185.38,Yes,413193.49,16369.55,3.51,472,8.6,0.4680228818428975,Poor
36,Female,High School,Self-employed,4381.0,1568.05,131153.94,Yes,142630.4,1967.16,0.45,633,2.49,0.3579205660808034,Average
21,Male,Master,Unemployed,3791.1,2944.73,20164.21,No,0.0,0.0,0.0,793,0.44,0.7767481733533803,Average
38,Female,High School,Unemployed,3662.36,2171.87,325301.11,No,0.0,0.0,0.0,623,7.4,0.5930247163031488,Average
34,Male,Other,Employed,500.0,280.38,46568.45,No,0.0,0.0,0.0,325,7.76,0.56076,Poor
46,Male,PhD,Employed,2624.13,1893.52,77168.04,No,0.0,0.0,0.0,839,2.45,0.7215801046442059,Average
39,Female,Other,Employed,6958.16,4201.06,532518.83,Yes,2457.6,18.46,0.0,766,6.38,0.6037601894753786,Average
59,Other,Bachelor,Employed,5222.29,3038.57,283879.59,No,0.0,0.0,0.0,348,4.53,0.581846278165326,Poor
25,Male,High School,Employed,1098.58,591.12,7111.4,Yes,44459.29,930.11,0.85,482,0.54,0.5380764259316573,Poor
56,Female,Master,Student,3366.49,1797.45,295939.4,No,0.0,0.0,0.0,408,7.33,0.533924057401032,Poor
65,Male,Master,Student,4289.74,3054.1,63493.01,Yes,331669.59,3727.34,0.87,711,1.23,0.7119545706732809,Average
66,Male,High School,Employed,2770.45,1517.11,215973.83,No,0.0,0.0,0.0,565,6.5,0.547604179826382,Poor
68,Female,Master,Unemployed,6662.96,4117.68,664212.54,No,0.0,0.0,0.0,557,8.31,0.6179956055566895,Poor
58,Male,Bachelor,Employed,5523.61,2064.74,373212.19,Yes,408544.88,8988.4,1.63,737,5.63,0.373802639940184,Average
35,Male,High School,Employed,3468.46,2702.03,343043.8,No,0.0,0.0,0.0,340,8.24,0.779028733213011,Poor
65,Male,Bachelor,Employed,6866.84,4226.45,425659.95,Yes,72154.48,1421.39,0.21,447,5.17,0.6154868906221784,Poor
46,Female,Bachelor,Employed,6444.25,4176.73,436217.64,Yes,71135.93,907.68,0.14,643,5.64,0.6481328315940567,Average
20,Other,Bachelor,Employed,4222.34,3611.72,212810.36,Yes,378350.59,5171.17,1.22,784,4.2,0.8553835077232056,Poor
54,Female,Bachelor,Unemployed,4028.65,1421.8,295288.07,Yes,193370.44,3061.36,0.76,464,6.11,0.352922194779889,Poor
66,Female,High School,Employed,4312.38,2433.32,160063.43,Yes,89408.29,1295.7,0.3,832,3.09,0.5642638171960728,Good
28,Female,Bachelor,Employed,2956.2,2274.6,261528.68,Yes,285119.3,8992.59,3.04,819,7.37,0.7694337324944185,Average
22,Male,Bachelor,Employed,5129.63,3382.85,221554.55,No,0.0,0.0,0.0,545,3.6,0.6594725155615512,Poor
28,Female,High School,Self-employed,3750.76,3332.9,219902.57,No,0.0,0.0,0.0,527,4.89,0.8885932451023258,Poor
50,Female,Bachelor,Self-employed,1654.82,856.14,144656.28,No,0.0,0.0,0.0,381,7.28,0.517361404865786,Poor
68,Female,Bachelor,Unemployed,3605.32,2928.88,192419.53,No,0.0,0.0,0.0,446,4.45,0.8123772647088192,Poor
22,Female,Master,Student,3697.45,2167.1,306523.7,No,0.0,0.0,0.0,619,6.91,0.5861066410634356,Average
33,Female,Bachelor,Self-employed,3752.54,2550.77,35276.54,Yes,384692.47,7601.15,2.03,846,0.78,0.6797449194412318,Average
57,Male,Master,Employed,3287.06,1789.03,29721.5,Yes,316412.82,13622.21,4.14,382,0.75,0.5442644795044812,Poor
55,Male,High School,Employed,784.88,344.9,27143.77,No,0.0,0.0,0.0,326,2.88,0.4394302313729487,Poor
56,Male,Bachelor,Self-employed,2474.55,792.35,66065.08,No,0.0,0.0,0.0,580,2.22,0.3201996322563698,Poor
40,Female,Bachelor,Unemployed,4419.32,1967.3,380139.18,No,0.0,0.0,0.0,707,7.17,0.4451589837350543,Average
30,Female,Master,Employed,3016.73,1147.25,229245.7,Yes,201820.87,850.88,0.28,453,6.33,0.380295883290848,Poor
49,Female,Master,Employed,2283.1,824.51,100446.79,Yes,433407.44,12543.83,5.49,440,3.67,0.3611361744995839,Poor
66,Male,PhD,Self-employed,6251.18,4452.16,374227.57,Yes,422280.1,2367.4,0.38,322,4.99,0.7122111345377992,Poor
38,Female,High School,Employed,4795.4,2212.51,276590.54,No,0.0,0.0,0.0,592,4.81,0.4613817408349669,Poor
